Feature,Features,Lasso,PI,RFE,Ridge,XGB,Mean
MagpieData range GSvolume_pa,MagpieData range GSvolume_pa,0.05,0.01,0.69,0,0.009999999776483,0.15
MagpieData avg_dev NdValence,MagpieData avg_dev NdValence,0,0.01,0.71,0.05,0,0.15
MagpieData range Number,MagpieData range Number,0,0.01,0.75,0,0,0.15
MagpieData mean CovalentRadius,MagpieData mean CovalentRadius,0.05,0.02,0.67,0.02,0,0.15
MagpieData avg_dev AtomicWeight,MagpieData avg_dev AtomicWeight,0,0.03,0.62,0.03,0,0.14
MagpieData avg_dev NpUnfilled,MagpieData avg_dev NpUnfilled,0,0.01,0.62,0.04,0.03999999910593,0.14
MagpieData mean NpUnfilled,MagpieData mean NpUnfilled,0,0.01,0.64,0.05,0.019999999552965,0.14
MagpieData maximum NpUnfilled,MagpieData maximum NpUnfilled,0,0.01,0.52,0.14,0.009999999776483,0.14
MagpieData range Column,MagpieData range Column,0,0.01,0.65,0.02,0.009999999776483,0.14
MagpieData avg_dev NValence,MagpieData avg_dev NValence,0,0.01,0.68,0.01,0,0.14
min_diff_eta,min_diff_eta,0,0.01,0.69,0.01,0,0.14
MagpieData maximum Number,MagpieData maximum Number,0,0.01,0.64,0.03,0,0.14
MagpieData mode NsValence,MagpieData mode NsValence,0,0.01,0.6,0.08,0,0.14
MagpieData avg_dev NfValence,MagpieData avg_dev NfValence,0,0.01,0.41,0.25,0,0.13
MagpieData mean NsValence,MagpieData mean NsValence,0,0.01,0.53,0.09,0,0.13
MagpieData range GSbandgap,MagpieData range GSbandgap,0,0.01,0.43,0.22,0,0.13
MagpieData range Row,MagpieData range Row,0,0.01,0.61,0.02,0,0.13
MagpieData mode NValence,MagpieData mode NValence,0,0.01,0.6,0,0.019999999552965,0.13
MagpieData range Electronegativity,MagpieData range Electronegativity,0,0.01,0.63,0,0.009999999776483,0.13
MagpieData mean NdValence,MagpieData mean NdValence,0,0.01,0.5,0.15,0,0.13
MagpieData range AtomicWeight,MagpieData range AtomicWeight,0.01,0.02,0.57,0,0,0.12
MagpieData mode Row,MagpieData mode Row,0,0.01,0.15,0.46,0,0.12
MagpieData maximum NUnfilled,MagpieData maximum NUnfilled,0,0.01,0.51,0.06,0.019999999552965,0.12
MagpieData maximum AtomicWeight,MagpieData maximum AtomicWeight,0.02,0.01,0.52,0.01,0,0.11
7-norm,7-norm,0,0.01,0.48,0.06,0.009999999776483,0.11
MagpieData range NValence,MagpieData range NValence,0,0.01,0.55,0.01,0,0.11
MagpieData mean NdUnfilled,MagpieData mean NdUnfilled,0,0.01,0.47,0.05,0.019999999552965,0.11
MagpieData avg_dev NsValence,MagpieData avg_dev NsValence,0,0.01,0.38,0.14,0,0.11
MagpieData range NUnfilled,MagpieData range NUnfilled,0,0.01,0.5,0.02,0,0.11
MagpieData maximum GSvolume_pa,MagpieData maximum GSvolume_pa,0.01,0.01,0.53,0,0.009999999776483,0.11
MagpieData avg_dev NfUnfilled,MagpieData avg_dev NfUnfilled,0,0.01,0.25,0.26,0,0.1
MagpieData range SpaceGroupNumber,MagpieData range SpaceGroupNumber,0,0,0.48,0,0,0.1
MagpieData maximum Row,MagpieData maximum Row,0,0.01,0.36,0.13,0,0.1
MagpieData minimum Column,MagpieData minimum Column,0,0.01,0.44,0.01,0.019999999552965,0.1
range EN difference,range EN difference,0,0.01,0.46,0.02,0,0.1
MagpieData maximum GSmagmom,MagpieData maximum GSmagmom,0,0.01,0.35,0.14,0,0.1
MagpieData range NpValence,MagpieData range NpValence,0,0.01,0.39,0.08,0,0.1
MagpieData range NdValence,MagpieData range NdValence,0,0.01,0.45,0.04,0,0.1
MagpieData maximum NfValence,MagpieData maximum NfValence,0.17,0.01,0.28,0.02,0,0.1
MagpieData range CovalentRadius,MagpieData range CovalentRadius,0,0.02,0.49,0,0.009999999776483,0.1
MagpieData avg_dev NdUnfilled,MagpieData avg_dev NdUnfilled,0,0.01,0.4,0.05,0.009999999776483,0.09
MagpieData range NdUnfilled,MagpieData range NdUnfilled,0,0.01,0.42,0.01,0,0.09
MagpieData mean NfValence,MagpieData mean NfValence,0,0.01,0.4,0.02,0.029999999329448,0.09
MagpieData minimum SpaceGroupNumber,MagpieData minimum SpaceGroupNumber,0,0.04,0.42,0,0.009999999776483,0.09
MagpieData maximum NsUnfilled,MagpieData maximum NsUnfilled,0,0.01,0.31,0.12,0,0.09
MagpieData mode MeltingT,MagpieData mode MeltingT,0,0.18,0.28,0,0,0.09
3-norm,3-norm,0,0.01,0.36,0.08,0,0.09
avg s valence electrons,avg s valence electrons,0,0.01,0.33,0.09,0,0.09
MagpieData mode Number,MagpieData mode Number,0,0.01,0.3,0.07,0.009999999776483,0.08
MagpieData mean NfUnfilled,MagpieData mean NfUnfilled,0,0.01,0.14,0.24,0,0.08
MagpieData mode CovalentRadius,MagpieData mode CovalentRadius,0.03,0.06,0.32,0,0,0.08
MagpieData mode NpUnfilled,MagpieData mode NpUnfilled,0,0.01,0.37,0.01,0.019999999552965,0.08
MagpieData mode Column,MagpieData mode Column,0,0.01,0.34,0.02,0.009999999776483,0.08
10-norm,10-norm,0,0.01,0.38,0.03,0,0.08
MagpieData range NsValence,MagpieData range NsValence,0,0.01,0.3,0.05,0,0.07
MagpieData mode NUnfilled,MagpieData mode NUnfilled,0,0.01,0.23,0.11,0.009999999776483,0.07
MagpieData mode GSvolume_pa,MagpieData mode GSvolume_pa,0,0.01,0.29,0.03,0.009999999776483,0.07
MagpieData maximum NdValence,MagpieData maximum NdValence,0,0.01,0.31,0.02,0.009999999776483,0.07
MagpieData range NfValence,MagpieData range NfValence,0,0.01,0.33,0.02,0,0.07
MagpieData mode NsUnfilled,MagpieData mode NsUnfilled,0,0.01,0.07,0.25,0,0.07
MagpieData range NpUnfilled,MagpieData range NpUnfilled,0,0.01,0.21,0.15,0,0.07
MagpieData range GSmagmom,MagpieData range GSmagmom,0,0.01,0.22,0.14,0,0.07
0-norm,0-norm,0,0.01,0.24,0.07,0,0.06
MagpieData minimum NValence,MagpieData minimum NValence,0,0.01,0.26,0.01,0.029999999329448,0.06
MagpieData minimum GSbandgap,MagpieData minimum GSbandgap,0,0.01,0.01,0.29,0,0.06
MagpieData range NsUnfilled,MagpieData range NsUnfilled,0,0.01,0.18,0.12,0,0.06
MagpieData maximum NdUnfilled,MagpieData maximum NdUnfilled,0,0.01,0.26,0.01,0,0.06
MagpieData minimum AtomicWeight,MagpieData minimum AtomicWeight,0,0.01,0.23,0.01,0,0.05
MagpieData mode AtomicWeight,MagpieData mode AtomicWeight,0,0.01,0.19,0.03,0,0.05
MagpieData minimum Number,MagpieData minimum Number,0,0.01,0.19,0.04,0,0.05
MagpieData minimum Row,MagpieData minimum Row,0,0.01,0.11,0.15,0,0.05
MagpieData minimum GSvolume_pa,MagpieData minimum GSvolume_pa,0,0.01,0.25,0,0,0.05
MagpieData minimum MeltingT,MagpieData minimum MeltingT,0,0.04,0.2,0,0,0.05
MagpieData maximum Column,MagpieData maximum Column,0,0.01,0.14,0.02,0.009999999776483,0.04
MagpieData mode NpValence,MagpieData mode NpValence,0,0.01,0.11,0.09,0,0.04
MagpieData minimum NpValence,MagpieData minimum NpValence,0,0.01,0.08,0.1,0,0.04
MagpieData maximum NpValence,MagpieData maximum NpValence,0,0.01,0.17,0.02,0,0.04
MagpieData maximum NfUnfilled,MagpieData maximum NfUnfilled,0,0.01,0.16,0.01,0,0.04
5-norm,5-norm,0,0.01,0.12,0.07,0,0.04
MagpieData minimum NUnfilled,MagpieData minimum NUnfilled,0,0.01,0.16,0.03,0,0.04
MagpieData minimum NsValence,MagpieData minimum NsValence,0,0.01,0.13,0.05,0,0.04
MagpieData mode GSbandgap,MagpieData mode GSbandgap,0,0.01,0.18,0.02,0.009999999776483,0.04
