Compound,MagpieData mean SpaceGroupNumber,MagpieData minimum GSvolume_pa,avg ionic char,MagpieData range MeltingT,MagpieData avg_dev MendeleevNumber,mean_diff_eta,MagpieData maximum CovalentRadius,avg anion electron affinity,MagpieData minimum AtomicWeight,geom-mean_eta_both,Thermo_Dyn_stability_level
SH-I-Pd,138.25,6.615,0.010972583854847002,1814.04,11.25,2.9,139.0,-347600.0,1.00794,4.68991348306721,5
SH-I-Pt,138.25,6.615,0.009242730024513,2027.39,10.875,4.1,139.0,-347600.0,1.00794,4.95098779728933,5
SH-I-Sr,138.25,6.615,0.08849116590020402,1035.99,31.5,12.4,195.0,-347600.0,1.00794,6.27659917020478,1
SH-I-Zn,130.5,6.615,0.036310315390827005,678.67,8.625,6.9,139.0,-347600.0,1.00794,5.47187849837942,4
SH-NC-Ba,176.2,5.64,0.09518166986995802,3808.99,24.24,8.05,215.0,-210500.0,1.00794,6.56844440975811,4
SH-NC-Be,169.2,5.64,0.051509643299862,3808.99,7.36,63.05,105.0,-210500.0,1.00794,11.4499195916119,4
SH-NC-Ca,175.4,5.64,0.08808566906150801,3808.99,24.88,14.95,176.0,-210500.0,1.00794,7.5837023797642695,4
SH-NC-Cd,169.2,5.64,0.044588446247242994,3808.99,6.64,5.55,144.0,-210500.0,1.00794,6.109489842338999,8
SH-NC-Co,169.2,5.64,0.034789290286175,3808.99,9.52,3.45,126.0,-210500.0,1.00794,5.66235581405587,7
SH-NC-Cu,175.4,5.64,0.033855966808854,3808.99,8.08,3.55,132.0,-210500.0,1.00794,5.685280581524941,8
SH-NC-Fe,176.2,5.64,0.037209687504966005,3808.99,10.24,2.55,132.0,-210500.0,1.00794,5.4471185284276,7
SH-NC-Mg,169.2,5.64,0.067790705216517,3808.99,7.12,27.75,141.0,-210500.0,1.00794,8.96094185199064,4
SH-NC-Mn,173.8,5.64,0.052707578453717,3808.99,10.96,4.55,139.0,-210500.0,1.00794,5.90500389433249,8
SH-NC-Ni,175.4,5.64,0.033397018409917004,3808.99,8.8,3.75,124.0,-210500.0,1.00794,5.73058353203079,8
SH-NCO-Ba,148.833333333333,5.64,0.108043552557282,3808.99,21.1666666666667,8.7,215.0,-234333.333333333,1.00794,5.9922863839003595,4
SH-NCO-Be,143.0,5.64,0.07159362940842401,3808.99,6.83333333333333,63.7,105.0,-234333.333333333,1.00794,10.4455778241255,4
SH-NCO-Ca,148.166666666667,5.64,0.102311749313617,3808.99,21.7222222222222,15.6,176.0,-234333.333333333,1.00794,6.91848993078221,4
SH-NCO-Cd,143.0,5.64,0.065457854367187,3808.99,6.33333333333333,6.2,144.0,-234333.333333333,1.00794,5.5735895001924405,5
SH-NCO-Co,143.0,5.64,0.056453503333358,3808.99,8.77777777777778,4.1,126.0,-234333.333333333,1.00794,5.16567630456898,5
SH-NCO-Cu,148.166666666667,5.64,0.055569219308046,3808.99,7.44444444444444,4.2,132.0,-234333.333333333,1.00794,5.1865902018922005,4
SH-NCO-Fe,148.833333333333,5.64,0.058721642800075996,3808.99,9.44444444444444,3.2,132.0,-234333.333333333,1.00794,4.96931878435279,4
SH-NCO-Mg,143.0,5.64,0.08555308609872701,3808.99,6.66666666666667,28.4,141.0,-234333.333333333,1.00794,8.17492339081603,5
SH-NCO-Mn,146.833333333333,5.64,0.072641357067474,3808.99,10.1111111111111,5.2,139.0,-234333.333333333,1.00794,5.38704025268447,4
SH-NCO-Ni,148.166666666667,5.64,0.05513221450904701,3808.99,8.11111111111111,4.4,124.0,-234333.333333333,1.00794,5.22791935633604,5
SH-NCO-Pb,148.166666666667,5.64,0.04053931317619,3808.99,4.5,4.4,146.0,-234333.333333333,1.00794,5.22791935633604,5
SH-NCO-Pd,148.166666666667,5.64,0.044184267377635,3808.99,7.888888888888889,2.7,139.0,-234333.333333333,1.00794,4.8531704214795,5
SH-NCO-Pt,148.166666666667,5.64,0.041838525647911004,3808.99,7.66666666666667,3.9,136.0,-234333.333333333,1.00794,5.123332791033951,5
SH-NCO-Sr,148.166666666667,5.64,0.10493835445877699,3808.99,21.4444444444444,12.2,195.0,-234333.333333333,1.00794,6.49508899264359,4
SH-NCO-Zn,143.0,5.64,0.06747141406492299,3808.99,6.5,6.7,122.0,-234333.333333333,1.00794,5.66235581405587,5
SH-NC-Pb,175.4,5.64,0.019499897221076,3808.99,4.8,3.75,146.0,-210500.0,1.00794,5.73058353203079,8
SH-NC-Pd,175.4,5.64,0.022587114620602998,3808.99,8.56,2.05,139.0,-210500.0,1.00794,5.31980250647187,8
SH-NC-Pt,175.4,5.64,0.020548377915561,3808.99,8.32,3.25,136.0,-210500.0,1.00794,5.6159409738847,8
SH-NCS-Ba,158.5,5.64,0.08269663125655201,3808.99,21.2222222222222,8.75,215.0,-273666.666666667,1.00794,5.94316707315725,4
SH-NCS-Be,152.666666666667,5.64,0.044445840066465,3808.99,7.0,63.75,105.0,-273666.666666667,1.00794,10.3599544826889,4
SH-NCS-Ca,157.833333333333,5.64,0.076489017529836,3808.99,21.7777777777778,15.65,176.0,-273666.666666667,1.00794,6.8617784462149505,4
SH-NCS-Cd,152.666666666667,5.64,0.03837689158945,3808.99,6.5,6.25,144.0,-273666.666666667,1.00794,5.527902285484211,5
SH-NCS-Co,152.666666666667,5.64,0.029784239927719,3808.99,8.888888888888891,4.15,126.0,-273666.666666667,1.00794,5.123332791033951,5
SH-NCS-Cu,157.833333333333,5.64,0.028965943632612005,3808.99,7.55555555555556,4.25,132.0,-273666.666666667,1.00794,5.14407525525874,8
SH-NCS-Fe,158.5,5.64,0.031906483793008,3808.99,9.55555555555556,3.25,132.0,-273666.666666667,1.00794,4.928584831081469,4
SH-NCS-Mg,152.666666666667,5.64,0.05871700471064701,3808.99,6.83333333333333,28.45,141.0,-273666.666666667,1.00794,8.10791280810866,5
SH-NCS-Mn,156.5,5.64,0.04549617773539799,3808.99,10.2222222222222,5.25,139.0,-273666.666666667,1.00794,5.34288219894588,5
SH-NCS-Ni,157.833333333333,5.64,0.028563572923991,3808.99,8.22222222222222,4.45,124.0,-273666.666666667,1.00794,5.185065630904339,5
SH-NCS-Pb,157.833333333333,5.64,0.016394646630790998,3808.99,4.66666666666667,4.45,146.0,-273666.666666667,1.00794,5.185065630904339,4
SH-NCS-Pd,157.833333333333,5.64,0.019092786567368,3808.99,8.0,2.75,139.0,-273666.666666667,1.00794,4.813388546791,8
SH-NCS-Pt,157.833333333333,5.64,0.01731012488563,3808.99,7.77777777777778,3.95,136.0,-273666.666666667,1.00794,5.08133637108992,8
SH-NC-Sr,175.4,5.64,0.09132834556152002,3808.99,24.56,11.55,195.0,-210500.0,1.00794,7.11959146332426,4
SH-NCS-Sr,157.833333333333,5.64,0.079326185556992,3808.99,21.5,12.25,195.0,-273666.666666667,1.00794,6.4418481636687,4
SH-NCS-Zn,152.666666666667,5.64,0.040352139122632996,3808.99,6.66666666666667,6.75,122.0,-273666.666666667,1.00794,5.6159409738847,5
SH-NC-Zn,169.2,5.64,0.04684099020208099,3808.99,6.88,6.05,122.0,-210500.0,1.00794,6.20679103268891,8
SH-NO-Ba,139.8,6.615,0.124936022087336,985.99,25.04,8.45,215.0,-341000.0,1.00794,6.226594055300571,5
SH-NO-Be,132.8,6.615,0.083824976589244,1545.99,6.96,63.45,105.0,-341000.0,1.00794,10.8540160828469,4
SH-NO-Ca,139.0,6.615,0.11853585060374001,1100.99,25.68,15.35,176.0,-341000.0,1.00794,7.18901359427778,4
SH-NO-Cd,132.8,6.615,0.076774988378772,580.21,6.24,5.95,144.0,-341000.0,1.00794,5.791525475455481,4
SH-NO-Co,132.8,6.615,0.06631495175946,1753.99,9.36,3.85,126.0,-341000.0,1.00794,5.367662242588009,4
SH-NO-Cu,139.0,6.615,0.06527833777886799,1343.76,7.68,3.95,132.0,-341000.0,1.00794,5.38939390566336,5
SH-NO-Fe,139.8,6.615,0.068965217358681,1796.99,10.32,2.95,132.0,-341000.0,1.00794,5.1636268394443,4
SH-NO-Mg,132.8,6.615,0.09969898729842,908.99,6.72,28.15,141.0,-341000.0,1.00794,8.49457554708204,4
SH-NO-Mn,137.4,6.615,0.085023767652594,1504.99,11.28,4.95,139.0,-341000.0,1.00794,5.597681863662361,5
SH-NO-Ni,139.0,6.615,0.06476530752884,1713.99,8.4,4.15,124.0,-341000.0,1.00794,5.43233909400784,4
SH-NO-Pb,139.0,6.615,0.04716370955152201,586.6,3.6,4.15,146.0,-341000.0,1.00794,5.43233909400784,4
SH-NO-Pd,139.0,6.615,0.051687094959998,1814.04,8.16,2.45,139.0,-341000.0,1.00794,5.042936895828991,5
SH-NO-Pt,139.0,6.615,0.048793261924971,2027.39,7.92,3.65,136.0,-234333.333333333,1.00794,5.32366303214204,5
SH-NO-Sr,139.0,6.615,0.12147110953493699,1035.99,25.36,11.95,195.0,-341000.0,1.00794,6.74905702419366,4
SH-NO-Zn,132.8,6.615,0.079094477709989,678.67,6.48,6.45,122.0,-341000.0,1.00794,5.883762689567599,5
