Compound,MagpieData mean SpaceGroupNumber,MagpieData minimum GSvolume_pa,avg ionic char,MagpieData range MeltingT,MagpieData avg_dev MendeleevNumber,mean_diff_eta,MagpieData maximum CovalentRadius,avg anion electron affinity,MagpieData minimum AtomicWeight,geom-mean_eta_both,Thermo_Dyn_stability_level
OH-OH-Ba,128.2,6.615,0.14322797180570998,985.99,25.76,7.2,215.0,-282000.0,1.00794,7.37669806729351,1
OH-OH-Be,121.2,6.615,0.105244623200963,1545.99,7.2,62.2,96.0,-282000.0,1.00794,12.8588436550718,4
OH-OH-Ca,127.4,6.615,0.137189766026072,1100.99,26.4,14.1,176.0,-282000.0,1.00794,8.516884546457849,1
OH-OH-Cd,121.2,6.615,0.09889557733587598,580.21,6.24,4.7,144.0,-282000.0,1.00794,6.86126868108657,1
OH-OH-Co,121.2,6.615,0.08954688911113198,1753.99,10.08,2.6,126.0,-282000.0,1.00794,6.3591143631848706,3
OH-OH-Cu,127.4,6.615,0.088624691225554,1343.76,8.16,2.7,132.0,-282000.0,1.00794,6.38486004623137,1
OH-OH-Fe,128.2,6.615,0.09190800442476402,1796.99,11.04,1.7,132.0,-282000.0,1.00794,6.1173919141762605,4
OH-OH-Mg,121.2,6.615,0.119700902211027,908.99,6.88,26.9,141.0,-282000.0,1.00794,10.0635947139184,1
OH-OH-Mn,125.8,6.615,0.106328364013035,1504.99,12.0,3.7,139.0,-282000.0,1.00794,6.63162053255274,5
OH-OH-Ni,127.4,6.615,0.08816855442566801,1713.99,9.12,2.9,124.0,-282000.0,1.00794,6.43573757013074,1
OH-OH-Pb,127.4,6.615,0.072608086696354,586.6,3.36,2.9,146.0,-282000.0,1.00794,6.43573757013074,1
OH-OH-Pd,127.4,6.615,0.07659383301793801,1814.04,8.8,1.2,139.0,-282000.0,1.00794,5.97440952831622,5
OH-OH-Pt,127.4,6.615,0.074043467901007,2027.39,8.48,2.4,136.0,-282000.0,1.00794,6.30698813048419,5
OH-OH-Sr,127.4,6.615,0.139952434236856,1035.99,26.08,10.7,195.0,-282000.0,1.00794,7.99566431732313,0
OH-OH-Zn,121.2,6.615,0.10097995808943198,678.67,6.56,5.2,122.0,-282000.0,1.00794,6.97054288027645,1
OH-O-Al,110.75,6.615,0.115987962190165,919.46,5.875,40.55,121.0,-282000.0,1.00794,10.791534289424,4
OH-O-Bi,57.5,6.615,0.089890704708408,530.39,2.0,4.65,148.0,-282000.0,1.00794,6.47649101285584,4
OH-O-Ce,103.0,6.615,0.14815298605205598,1056.99,27.625,3.05,204.0,-282000.0,1.00794,6.10689894003677,1
OH-O-Co,103.0,6.615,0.09844469922274601,1753.99,11.5,3.65,126.0,-282000.0,1.00794,6.2506431338183495,4
OH-O-Cr,111.75,6.615,0.11267516903621301,2165.99,14.875,3.85,139.0,-282000.0,1.00794,6.29711802338558,4
OH-O-Fe,111.75,6.615,0.101610763707275,1796.99,12.625,7.85,132.0,-282000.0,1.00794,7.11025430938578,4
OH-O-Ga,70.5,6.615,0.102890536256317,288.9,5.5,11.75,122.0,-282000.0,1.00794,7.755521559456249,3
OH-O-Gd,103.0,6.615,0.143061704289383,1571.99,23.125,6.45,196.0,-282000.0,1.00794,6.84736254511225,0
OH-O-In,89.25,6.615,0.104822966396284,415.74,5.125,7.75,142.0,-282000.0,1.00794,7.09211582674124,4
OH-O-Ir,110.75,6.615,0.07978524272701899,2724.99,10.75,2.65,141.0,-282000.0,1.00794,6.00717659783669,4
OH-O-La,103.0,6.615,0.1494087619724,1178.99,28.375,10.15,207.0,-282000.0,1.00794,7.50415177535151,1
OH-O-Lu,103.0,6.615,0.13852891671011403,1921.99,17.875,6.85,187.0,-282000.0,1.00794,6.924522420548179,1
OH-O-Nd,103.0,6.615,0.146890094006255,1279.99,26.125,3.95,201.0,-282000.0,1.00794,6.3201004096636,4
OH-O-Rh,110.75,6.615,0.075700377189164,2222.99,11.125,5.95,142.0,-282000.0,1.00794,6.748398339690651,4
OH-O-Ru,103.0,6.615,0.07978524272701899,2592.99,12.25,5.45,146.0,-282000.0,1.00794,6.64644315793276,4
OH-O-Sc,103.0,6.615,0.13261838275519,1799.99,29.125,19.35,170.0,-282000.0,1.00794,8.77215717848158,1
OH-O-Sm,96.0,6.615,0.144983059282047,1330.99,24.625,3.75,198.0,-282000.0,1.00794,6.27396664518003,1
OH-O-Y,103.0,6.615,0.14177337030992498,1784.99,28.75,15.35,190.0,-282000.0,1.00794,8.268316817074291,4
O-O-Ce,72.6666666666667,9.105,0.16435923757266,1016.2,32.0,9.5,204.0,-282000.0,15.9994,7.018617108950419,1
O-O-Ge,83.0,9.105,0.08894212842141401,1156.6,3.55555555555556,19.0,120.0,-282000.0,15.9994,8.30991701832922,3
O-O-Hf,72.6666666666667,9.105,0.151498724050362,2451.2,18.6666666666667,23.1,175.0,-282000.0,15.9994,8.76025464394636,3
O-O-Ir,83.0,9.105,0.07092021575735001,2684.2,12.0,13.4,141.0,-282000.0,15.9994,7.60234807410174,3
O-O-Mo,84.3333333333333,9.105,0.07468538592545,2841.2,16.4444444444444,2.3,154.0,-282000.0,15.9994,5.57068009105495,4
O-O-Os,72.6666666666667,9.105,0.07092021575735001,3251.2,13.333333333333302,1.9,144.0,-282000.0,15.9994,5.4655477252458,4
O-O-Pd,83.0,9.105,0.07092021575735001,1773.25,11.1111111111111,3.7,139.0,-282000.0,15.9994,5.9105814134973,0
O-O-Pt,83.0,9.105,0.063480596947565,1986.6,10.6666666666667,3.8,136.0,-282000.0,15.9994,5.933402417521029,0
O-O-Re,72.6666666666667,9.105,0.09939509682146801,3404.2,14.666666666666698,5.6,151.0,-282000.0,15.9994,6.31723674800756,3
O-O-Ru,72.6666666666667,9.105,0.07092021575735001,2552.2,13.7777777777778,3.6,146.0,-282000.0,15.9994,5.8875828096472,4
O-O-Sn,55.0,9.105,0.09370307713979001,450.28,3.11111111111111,13.4,139.0,-282000.0,15.9994,7.60234807410174,4
O-O-Tc,72.6666666666667,9.105,0.09939509682146801,2375.2,15.1111111111111,7.9,147.0,-282000.0,15.9994,6.748398339690651,3
O-O-Te,58.6666666666667,9.105,0.080371127001095,667.86,1.33333333333333,5.8,138.0,-282000.0,15.9994,6.357094185666879,3
O-O-Ti,72.6666666666667,9.105,0.13209899887481802,1886.2,19.5555555555556,23.1,160.0,-282000.0,15.9994,8.76025464394636,3
O-O-W,84.3333333333333,9.105,0.056207265969512,3640.2,16.0,0.6,162.0,-282000.0,15.9994,5.092350444154019,3
O-O-Zr,72.6666666666667,9.105,0.14920809965912898,2073.2,19.111111111111104,18.1,175.0,-282000.0,15.9994,8.20427102507125,3
NH-OH-Al,163.8,6.615,0.085397933289466,919.46,6.16,41.2,121.0,-151500.0,1.00794,9.73760159749159,4
NH-OH-Bi,121.2,6.615,0.06568153614264301,530.39,3.36,5.3,148.0,-151500.0,1.00794,5.84397802402675,4
NH-OH-Ce,157.6,6.615,0.113941093542669,1056.99,23.44,3.7,204.0,-151500.0,1.00794,5.51048139025983,3
NH-OH-Co,157.6,6.615,0.071716770118024,1753.99,9.76,4.3,126.0,-151500.0,1.00794,5.64018710711693,1
NH-OH-Cr,164.6,6.615,0.082697825058244,2165.99,12.56,4.5,139.0,-151500.0,1.00794,5.68212312351236,4
NH-OH-Fe,164.6,6.615,0.07406623581355401,1796.99,10.64,8.5,132.0,-151500.0,1.00794,6.415846149838071,5
NH-OH-Ga,131.6,6.615,0.075032038566329,288.9,5.92,12.4,122.0,-151500.0,1.00794,6.99809471955749,5
NH-OH-Gd,157.6,6.615,0.10916489545344699,1571.99,19.6,7.1,196.0,-151500.0,1.00794,6.178629161493219,1
NH-OH-In,146.6,6.615,0.076507255751508,415.74,5.68,8.4,142.0,-151500.0,1.00794,6.39947912427539,1
NH-OH-Ir,163.8,6.615,0.05927142655596799,2724.99,9.28,3.3,141.0,-151500.0,1.00794,5.4204982226517995,4
NH-OH-La,157.6,6.615,0.11513309040938198,1178.99,24.08,10.8,207.0,-151500.0,1.00794,6.77127444121595,4
NH-OH-Lu,157.6,6.615,0.104990263121568,1921.99,15.12,7.5,187.0,-151500.0,1.00794,6.248253378602329,4
NH-OH-Nd,157.6,6.615,0.112747872366419,1279.99,22.16,4.6,201.0,-151500.0,1.00794,5.702860982961531,4
NH-OH-Rh,163.8,6.615,0.056969838464897005,2222.99,9.52,6.6,142.0,-151500.0,1.00794,6.0893300888162,1
NH-OH-Ru,157.6,6.615,0.05927142655596799,2592.99,10.32,6.1,146.0,-151500.0,1.00794,5.99733214726945,5
NH-OH-Sc,157.6,6.615,0.099659891379164,1799.99,24.72,20.0,170.0,-151500.0,1.00794,7.91544274092178,4
NH-OH-Sm,152.0,6.615,0.11095662258061399,1330.99,20.88,4.4,198.0,-151500.0,1.00794,5.6612327763798405,4
NH-OH-Y,157.6,6.615,0.107970836677331,1784.99,24.4,16.0,190.0,-151500.0,1.00794,7.46080889771297,4
PH-OH-Al,125.4,6.615,0.071045609423513,919.46,5.92,41.9,121.0,-249000.0,1.00794,8.26339910170895,5
PH-OH-Bi,82.8,6.615,0.055239305972505995,530.39,3.2,6.0,148.0,-249000.0,1.00794,4.959241993078599,4
PH-OH-Ce,119.2,6.615,0.09824345827835199,1056.99,23.52,4.4,204.0,-249000.0,1.00794,4.67623433905808,4
PH-OH-Co,119.2,6.615,0.059670642503215,1753.99,9.76,5.0,126.0,-249000.0,1.00794,4.7863035479318095,4
PH-OH-Cr,126.2,6.615,0.06868934917518799,2165.99,12.64,5.2,139.0,-249000.0,1.00794,4.82189075457009,5
PH-OH-Fe,126.2,6.615,0.061511716043712,1796.99,10.72,9.2,132.0,-249000.0,1.00794,5.44453341826306,5
PH-OH-Ga,93.2,6.615,0.062284170793692,303.29,5.68,13.1,122.0,-249000.0,1.00794,5.938633763180669,5
PH-OH-Gd,119.2,6.615,0.093446584518252,1571.99,19.68,7.8,196.0,-249000.0,1.00794,5.24322936728362,4
PH-OH-In,108.2,6.615,0.063480305834846,415.74,5.44,9.1,142.0,-249000.0,1.00794,5.4306442420651795,4
PH-OH-Ir,125.4,6.615,0.051234562625,2724.99,9.12,4.0,141.0,-249000.0,1.00794,4.59987397260268,3
PH-OH-La,119.2,6.615,0.099453962040732,1178.99,24.16,11.5,207.0,-249000.0,1.00794,5.74615243546033,4
PH-OH-Lu,119.2,6.615,0.089326762475785,1921.99,15.2,8.2,187.0,-249000.0,1.00794,5.302312981185509,4
PH-OH-Nd,119.2,6.615,0.097036982962675,1279.99,22.24,5.3,201.0,-249000.0,1.00794,4.83948905199765,4
PH-OH-Rh,125.4,6.615,0.05010324694916099,2222.99,9.44,7.3,142.0,-249000.0,1.00794,5.1674495287315,4
PH-OH-Ru,119.2,6.615,0.051234562625,2592.99,10.4,6.8,146.0,-249000.0,1.00794,5.08937941054837,5
PH-OH-Sc,119.2,6.615,0.084171621286439,1799.99,24.8,20.7,170.0,-249000.0,1.00794,6.71710192495561,4
PH-OH-Sm,113.6,6.615,0.095235883671771,1330.99,20.96,5.1,198.0,-249000.0,1.00794,4.80416305499223,4
PH-OH-Y,119.2,6.615,0.092261091683327,1784.99,24.48,16.7,190.0,-249000.0,1.00794,6.3312963593894604,4
S-OH-Al,125.25,6.615,0.086465774007177,919.46,6.0,41.35,121.0,-341000.0,1.00794,9.45923064362864,3
S-OH-Bi,72.0,6.615,0.062677095743205,530.39,1.875,5.45,148.0,-341000.0,1.00794,5.67691494174564,1
S-OH-Ce,117.5,6.615,0.12056615726097,1056.99,27.75,3.85,204.0,-341000.0,1.00794,5.35295204943675,4
S-OH-Co,117.5,6.615,0.069984875332788,1753.99,11.625,4.45,126.0,-341000.0,1.00794,5.4789498405010795,1
S-OH-Cr,126.25,6.615,0.08322092962668201,2165.99,15.0,4.65,139.0,-341000.0,1.00794,5.5196870227926205,4
S-OH-Fe,126.25,6.615,0.072822674714102,1796.99,12.75,8.65,132.0,-341000.0,1.00794,6.232434947943309,5
S-OH-Ga,85.0,6.615,0.073988220680216,374.35,5.625,12.55,122.0,-341000.0,1.00794,6.798038650021,5
S-OH-Gd,117.5,6.615,0.114885040691308,1571.99,23.25,7.25,196.0,-341000.0,1.00794,6.001999333703459,4
S-OH-In,103.75,6.615,0.075767473503758,415.74,5.25,8.55,142.0,-341000.0,1.00794,6.21653581013226,2
S-OH-Ir,125.25,6.615,0.054875429676647,2724.99,10.875,3.45,141.0,-341000.0,1.00794,5.265541250388661,1
S-OH-La,117.5,6.615,0.12198240412911199,1178.99,28.5,10.95,207.0,-341000.0,1.00794,6.577702532753951,4
S-OH-Lu,117.5,6.615,0.10991121466684599,1921.99,18.0,7.65,187.0,-341000.0,1.00794,6.06963318803847,4
S-OH-Nd,117.5,6.615,0.11914781600332901,1279.99,26.25,4.75,201.0,-341000.0,1.00794,5.539832044502631,4
S-OH-Rh,125.25,6.615,0.052057494246762,2222.99,11.25,6.75,142.0,-341000.0,1.00794,5.9152530732144495,0
S-OH-Ru,117.5,6.615,0.054875429676647,2592.99,12.375,6.25,146.0,-341000.0,1.00794,5.8258850970124,5
S-OH-Sc,117.5,6.615,0.103549326073112,1799.99,29.25,20.15,170.0,-341000.0,1.00794,7.68916224217909,4
S-OH-Sm,110.5,6.615,0.117017424521182,1330.99,24.75,4.55,198.0,-341000.0,1.00794,5.499393872598129,3
S-OH-Y,117.5,6.615,0.11346317170366801,1784.99,28.875,16.15,190.0,-341000.0,1.00794,7.24752511641918,4
Se-OH-Al,111.25,6.615,0.086099450832482,919.46,6.125,41.6,121.0,-336000.0,1.00794,8.95510148909566,4
Se-OH-Bi,58.0,6.615,0.062549167858125,530.39,2.0,5.7,148.0,-336000.0,1.00794,5.374364085575791,1
Se-OH-Ce,103.5,6.615,0.120108829750353,1056.99,27.875,4.1,204.0,-336000.0,1.00794,5.0676667770287,4
Se-OH-Co,103.5,6.615,0.069760217754456,1753.99,11.75,4.7,126.0,-336000.0,1.00794,5.186949523046,1
Se-OH-Cr,112.25,6.615,0.08287603575155,2165.99,15.125,4.9,139.0,-336000.0,1.00794,5.22551561954415,4
Se-OH-Fe,112.25,6.615,0.072567112894561,1796.99,12.875,8.9,132.0,-336000.0,1.00794,5.900277684909999,4
Se-OH-Ga,71.0,6.615,0.073720867944562,479.99,5.75,12.8,122.0,-336000.0,1.00794,6.43573757013074,5
Se-OH-Gd,103.5,6.615,0.11442832138642099,1571.99,23.375,7.5,196.0,-336000.0,1.00794,5.68212312351236,4
Se-OH-In,89.75,6.615,0.075483060576932,479.99,5.375,8.8,142.0,-336000.0,1.00794,5.8852258907365504,5
Se-OH-Ir,111.25,6.615,0.054890888030430005,2724.99,11.0,3.7,141.0,-336000.0,1.00794,4.98491453150164,0
Se-OH-La,103.5,6.615,0.121525722195811,1178.99,28.625,11.2,207.0,-336000.0,1.00794,6.22714425359408,4
Se-OH-Lu,103.5,6.615,0.10945937598092301,1921.99,18.125,7.9,187.0,-336000.0,1.00794,5.74615243546033,4
Se-OH-Nd,103.5,6.615,0.118690157318142,1279.99,26.375,5.0,201.0,-336000.0,1.00794,5.24458701347772,4
Se-OH-Rh,111.25,6.615,0.052142110508177,2222.99,11.375,7.0,142.0,-336000.0,1.00794,5.6,1
Se-OH-Ru,103.5,6.615,0.054890888030430005,2592.99,12.5,6.5,146.0,-336000.0,1.00794,5.51539488496313,5
Se-OH-Sc,103.5,6.615,0.10310998756189299,1799.99,29.375,20.4,170.0,-336000.0,1.00794,7.279368781563179,4
Se-OH-Sm,96.5,6.615,0.11655986890528598,1330.99,24.875,4.8,198.0,-336000.0,1.00794,5.20630399162519,4
Se-OH-Y,103.5,6.615,0.113007424348636,1784.99,29.0,16.4,190.0,-336000.0,1.00794,6.86126868108657,4
Te-OH-Al,145.75,6.615,0.087000160460467,919.46,6.25,39.8,138.0,-331200.0,1.00794,11.796264258398098,4
Te-OH-Bi,92.5,6.615,0.068057809322146,708.65,2.25,3.9,148.0,-331200.0,1.00794,7.07947520767833,1
Te-OH-Ce,138.0,6.615,0.11808174898386599,1056.99,28.0,2.3,204.0,-331200.0,1.00794,6.6754728071062805,4
Te-OH-Co,138.0,6.615,0.073524323841106,1753.99,11.875,2.9,138.0,-331200.0,1.00794,6.832600093179,4
Te-OH-Cr,146.75,6.615,0.084248049638468,2165.99,15.25,3.1,139.0,-331200.0,1.00794,6.883401959161319,4
Te-OH-Fe,146.75,6.615,0.075745997657739,1796.99,13.0,7.1,138.0,-331200.0,1.00794,7.7722441062090395,5
Te-OH-Ga,105.5,6.615,0.076672019879524,708.65,5.875,11.0,138.0,-331200.0,1.00794,8.47758801699852,5
Te-OH-Gd,138.0,6.615,0.112660856830545,1571.99,23.5,5.7,196.0,-331200.0,1.00794,7.48487618988168,4
Te-OH-In,124.25,6.615,0.078099790327812,708.65,5.5,7.0,142.0,-331200.0,1.00794,7.7524168667468,5
Te-OH-Ir,145.75,6.615,0.062809110532885,2724.99,11.125,1.9,141.0,-331200.0,1.00794,6.566465962527059,4
Te-OH-La,138.0,6.615,0.119447001105362,1178.99,28.75,9.4,207.0,-331200.0,1.00794,8.20281481790097,4
Te-OH-Lu,138.0,6.615,0.10798946985692098,1921.99,18.25,6.1,187.0,-331200.0,1.00794,7.56921992232752,4
Te-OH-Nd,138.0,6.615,0.11671999546852801,1279.99,26.5,3.2,201.0,-331200.0,1.00794,6.90852408679889,4
Te-OH-Rh,145.75,6.615,0.061164788147275,2222.99,11.5,5.2,142.0,-331200.0,1.00794,7.37669806729351,1
Te-OH-Ru,138.0,6.615,0.062809110532885,2592.99,12.625,4.7,146.0,-331200.0,1.00794,7.26525049790501,5
Te-OH-Sc,138.0,6.615,0.10211970512638399,1799.99,29.5,18.6,170.0,-331200.0,1.00794,9.58887600394176,4
Te-OH-Sm,131.0,6.615,0.11468504484449099,1330.99,25.0,3.0,198.0,-331200.0,1.00794,6.858095105850719,4
Te-OH-Y,138.0,6.615,0.11131824232177699,1784.99,29.125,14.6,190.0,-331200.0,1.00794,9.038126324813,4
Br-Br-Ba,119.0,29.48,0.14609142461257998,734.2,38.22222222222221,8.6,215.0,-324600.0,79.904,6.0893300888162,0
Br-Br-Be,107.333333333333,7.89,0.085130133262055,1294.2,12.444444444444402,63.6,120.0,-324600.0,9.012182000000001,10.614741563489302,4
Br-Br-Ca,117.666666666667,29.48,0.137168942344874,849.2,39.1111111111111,15.5,176.0,-324600.0,40.078,7.0305332899096795,0
Br-Br-Cd,107.333333333333,19.495,0.073741834218535,328.42,11.1111111111111,6.1,144.0,-324600.0,79.904,5.663852505016759,1
Br-Br-Co,107.333333333333,10.245,0.056207265969512,1502.2,16.4444444444444,4.0,126.0,-324600.0,58.933195,5.24933324865933,0
Br-Br-Cu,117.666666666667,11.07,0.054421368424662005,1091.97,13.7777777777778,4.1,132.0,-324600.0,63.54600000000001,5.27058584175749,1
Br-Br-Fe,119.0,10.73,0.060730662065466,1545.2,17.7777777777778,3.1,132.0,-324600.0,55.845,5.04979576339657,4
Br-Br-Mg,107.333333333333,22.89,0.10971100985036,657.2,12.0,28.3,141.0,-324600.0,24.305,8.30731440192981,1
Br-Br-Mn,115.0,10.487586206900001,0.087036049960736,1253.2,19.111111111111104,5.1,139.0,-324600.0,54.938044999999995,5.47428213519125,1
Br-Br-Ni,117.666666666667,10.32,0.05353388022867099,1462.2,15.1111111111111,4.3,124.0,-324600.0,58.6934,5.312584312387401,1
Br-Br-Pb,117.666666666667,28.11,0.020991346924637003,334.81,6.22222222222222,4.3,146.0,-324600.0,79.904,5.312584312387401,1
Br-Br-Pd,117.666666666667,14.41,0.029879675061830004,1562.25,14.666666666666698,2.6,139.0,-324600.0,79.904,4.93176640440075,2
Br-Br-Pt,117.666666666667,15.02,0.024259670081265002,1775.6,14.2222222222222,3.8,136.0,-324600.0,79.904,5.20630399162519,5
Br-Br-Sr,117.666666666667,29.48,0.141286694619811,784.2,38.6666666666667,12.1,195.0,-324600.0,79.904,6.60027547059592,0
Br-Br-Zn,107.333333333333,13.96,0.077523633247491,426.88,11.555555555555598,6.6,122.0,-324600.0,65.38,5.75405636899331,1
Cl-Cl-Ba,119.0,24.4975,0.16094226163912803,828.4,37.77777777777779,8.1,215.0,-349000.0,35.453,6.5634960544048395,1
Cl-Cl-Be,107.333333333333,7.89,0.104107912477162,1388.4,12.0,63.1,102.0,-349000.0,9.012182000000001,11.441293763733801,4
Cl-Cl-Ca,117.666666666667,24.4975,0.153003049811687,943.4,38.6666666666667,15.0,176.0,-349000.0,35.453,7.57798917707464,0
Cl-Cl-Cd,107.333333333333,19.495,0.092751744718464,422.62,10.6666666666667,5.6,144.0,-349000.0,35.453,6.10488724164984,1
Cl-Cl-Co,107.333333333333,10.245,0.07468538592545,1596.4,16.0,3.5,126.0,-349000.0,35.453,5.6580900629957,1
Cl-Cl-Cu,117.666666666667,11.07,0.07279971946733299,1186.17,13.333333333333302,3.6,132.0,-349000.0,35.453,5.680997560029219,0
Cl-Cl-Fe,119.0,10.73,0.07942110376534799,1639.4,17.3333333333333,2.6,132.0,-349000.0,35.453,5.44301492695843,4
Cl-Cl-Mg,107.333333333333,22.89,0.127773895081407,751.4,11.555555555555598,27.8,141.0,-349000.0,24.305,8.954191102221369,1
Cl-Cl-Mn,115.0,10.487586206900001,0.10598270311263601,1347.4,18.6666666666667,4.6,139.0,-349000.0,35.453,5.90055534368507,1
Cl-Cl-Ni,117.666666666667,10.32,0.071859145297394,1556.4,14.666666666666698,3.8,124.0,-349000.0,35.453,5.72626638143483,2
Cl-Cl-Pb,117.666666666667,24.4975,0.03515783351877,429.01,5.77777777777778,3.8,146.0,-349000.0,35.453,5.72626638143483,1
Cl-Cl-Pd,117.666666666667,14.41,0.045729810529656,1656.45,14.2222222222222,2.1,139.0,-349000.0,35.453,5.31579481887203,2
Cl-Cl-Pt,117.666666666667,15.02,0.039113903704066,1869.8,13.7777777777778,3.3,136.0,-349000.0,35.453,5.61171018956984,5
Cl-Cl-Sr,117.666666666667,24.4975,0.156682730880436,878.4,38.22222222222221,11.6,195.0,-349000.0,35.453,7.11422789984822,0
Cl-Cl-Zn,107.333333333333,13.96,0.09655304427993501,521.08,11.1111111111111,6.1,122.0,-349000.0,35.453,6.20211512988496,1
CN-CN-Ba,201.0,5.64,0.10396233813584199,3759.95,22.56,7.5,215.0,-21000.0,12.0107,7.110834479979581,4
CN-CN-Be,194.0,5.64,0.05978813355913701,3759.95,4.0,62.5,96.0,-21000.0,9.012182000000001,12.395398049509598,7
CN-CN-Ca,200.2,5.64,0.097178876489766,3759.95,23.2,14.4,176.0,-21000.0,12.0107,8.209927496351732,4
CN-CN-Cd,194.0,5.64,0.052102324814028,3759.95,3.52,5.0,144.0,-21000.0,12.0107,6.6139816851383,7
CN-CN-Co,194.0,5.64,0.040667006924993,3759.95,6.88,2.9,126.0,-21000.0,12.0107,6.129925511843389,7
CN-CN-Cu,200.2,5.64,0.039532513192938996,3759.95,4.96,3.0,132.0,-21000.0,12.0107,6.15474329468439,8
CN-CN-Fe,201.0,5.64,0.043566865381057,3759.95,7.84,2.0,132.0,-21000.0,12.0107,5.896914982021589,7
CN-CN-Mg,194.0,5.64,0.07699625947521001,3759.95,3.84,27.2,141.0,-21000.0,12.0107,9.70089268009404,7
CN-CN-Mn,198.6,5.64,0.061092746226309995,3759.95,8.8,4.0,139.0,-21000.0,12.0107,6.392610285907789,7
CN-CN-Ni,200.2,5.64,0.038971007014659,3759.95,5.92,3.2,124.0,-21000.0,12.0107,6.2037871416602695,8
CN-CN-Pb,200.2,5.64,0.019756184252080002,3759.95,2.24,3.2,146.0,-21000.0,12.0107,6.2037871416602695,7
CN-CN-Pd,200.2,5.64,0.024671697812372002,3759.95,5.6,1.5,139.0,-21000.0,12.0107,5.75908582456817,8
CN-CN-Pt,200.2,5.64,0.021522918981017,3759.95,5.28,2.7,136.0,-150866.666666667,12.0107,6.079677960782191,8
CN-CN-Sr,200.2,5.64,0.10029514017886,3759.95,22.88,11.0,195.0,-21000.0,12.0107,7.70749256636227,4
CN-CN-Zn,194.0,5.64,0.054633371004058004,3759.95,3.68,5.5,122.0,-21000.0,12.0107,6.7193175327334105,7
F-F-Ba,86.3333333333333,9.7075,0.20179940264901397,946.5,37.3333333333333,5.8,215.0,-328000.0,18.998403200000002,8.55989984452064,4
F-F-Be,74.6666666666667,7.89,0.170200941360371,1506.5,11.555555555555598,60.8,96.0,-328000.0,9.012182000000001,14.921366280638402,4
F-F-Ca,85.0,9.7075,0.19808927812064397,1061.5,38.22222222222221,12.7,176.0,-328000.0,18.998403200000002,9.882969052002,4
F-F-Cd,74.6666666666667,9.7075,0.16232363721815,540.72,10.2222222222222,3.3,144.0,-328000.0,18.998403200000002,7.96179702363712,1
F-F-Co,74.6666666666667,9.7075,0.148435567701187,1714.5,15.555555555555598,1.2,126.0,-328000.0,18.998403200000002,7.37909855495638,1
F-F-Cu,85.0,9.7075,0.14687719838790197,1304.27,12.8888888888889,1.3,132.0,-328000.0,18.998403200000002,7.408973773691981,5
F-F-Fe,86.3333333333333,9.7075,0.152253180563399,1757.5,16.8888888888889,0.3,132.0,-328000.0,18.998403200000002,7.09860449991841,4
F-F-Mg,74.6666666666667,9.7075,0.18483036788586396,869.5,11.1111111111111,25.5,141.0,-328000.0,18.998403200000002,11.677767212532101,1
F-F-Mn,82.3333333333333,9.7075,0.171444745624431,1465.5,18.2222222222222,2.3,139.0,-328000.0,18.998403200000002,7.6953139531635095,5
F-F-Ni,85.0,9.7075,0.14609142461257998,1674.5,14.2222222222222,1.5,124.0,-328000.0,18.998403200000002,7.468011910395269,1
F-F-Pb,85.0,9.7075,0.10971100985036,547.11,5.33333333333333,1.5,146.0,-328000.0,18.998403200000002,7.468011910395269,4
F-F-Pd,85.0,9.7075,0.12157939528002301,1774.55,13.7777777777778,-0.2,139.0,-328000.0,18.998403200000002,6.932688138515591,2
F-F-Pt,85.0,9.7075,0.114325134410205,1987.9,13.333333333333302,1.0,136.0,-328000.0,18.998403200000002,7.318611420045941,5
F-F-Sr,85.0,9.7075,0.199835838998856,996.5,37.77777777777779,9.3,195.0,-328000.0,18.998403200000002,9.278146553150789,4
F-F-Zn,74.6666666666667,9.7075,0.16502800005588,639.18,10.6666666666667,3.8,122.0,-328000.0,18.998403200000002,8.08859849932755,1
I-I-Ba,119.0,43.015,0.120682214841623,613.15,38.6666666666667,9.1,215.0,-295200.0,126.90446999999999,5.59591538877686,0
I-I-Be,107.333333333333,7.89,0.057105458556927,1173.15,12.8888888888889,64.1,139.0,-295200.0,9.012182000000001,9.75463553406528,4
I-I-Ca,117.666666666667,37.77,0.11063819859847801,728.15,39.5555555555556,16.0,176.0,-295200.0,40.078,6.460853469016321,0
I-I-Cd,107.333333333333,19.495,0.04657933528946799,207.37,11.555555555555598,6.6,144.0,-295200.0,112.411,5.20491399387207,1
I-I-Co,107.333333333333,10.245,0.031355025287145,1381.15,16.8888888888889,4.5,139.0,-295200.0,58.933195,4.82398297982585,1
I-I-Cu,117.666666666667,11.07,0.029879675061830004,970.92,14.2222222222222,4.6,139.0,-295200.0,63.54600000000001,4.84351348827831,2
I-I-Fe,119.0,10.73,0.03515783351877,1424.15,18.2222222222222,3.6,139.0,-295200.0,55.845,4.64061389519198,4
I-I-Mg,107.333333333333,22.89,0.08132187514265202,536.15,12.444444444444402,28.8,141.0,-295200.0,24.305,7.63417778690399,1
I-I-Mn,115.0,10.487586206900001,0.058911789920938,1132.15,19.5555555555556,5.6,139.0,-295200.0,54.938044999999995,5.03070439539571,1
I-I-Ni,117.666666666667,10.32,0.029152209719367998,1341.15,15.555555555555598,4.8,139.0,-295200.0,58.6934,4.88210884846984,1
I-I-Pb,117.666666666667,28.11,0.005968386693033001,213.76,6.66666666666667,4.8,146.0,-295200.0,126.90446999999999,4.88210884846984,0
