Compound,mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference,Formation_energy
SH-CN-Mn,0.71,5.86832590522289,2.384,0.425942090430698,10.96,1.55,3808.99,2.4,1.44,4.1976,0.507444578254611,0.3007453006
SH-CN-Ni,0.59,5.69498892715995,2.456,0.273287979294598,8.8,1.91,3808.99,2.4,1.44,4.1976,0.320468407179241,0.3027628646
SH-CN-Pb,0.45,5.69498892715995,2.54,0.161717396775766,4.8,2.2,3808.99,2.8,1.04,4.1976,0.176918060129541,0.2466825006
SH-CN-Pd,0.493333333333333,5.28675940237081,2.514,0.161717396775766,8.56,2.2,3808.99,2.6,1.44,4.1976,0.202072594216369,0.5185472206
SH-CN-Pt,0.466666666666667,5.58105845296408,2.53,0.161717396775766,8.32,2.2,3808.99,2.8,1.44,4.1976,0.183393929379719,0.5937141106
SH-CN-Sr,0.91,7.07536925740713,2.264,0.664463655809218,24.56,0.95,3808.99,2.6,1.44,4.1976,0.841130192063036,-0.5714652334
SH-CN-Zn,0.676666666666667,6.16823854094186,2.404,0.383085599679248,6.88,1.65,3808.99,2.4,1.44,4.1976,0.453688586293873,0.2544791106
SH-F-Ba,1.735,7.16193907303545,2.4125,0.908097311920564,30.75,0.89,985.99,3,2.25,3.00625,0.926309883354377,-2.0343182592
SH-F-Be,1.395,12.48448207683,2.5825,0.76590423612167,9,1.57,1545.99,2,2.25,3.00625,0.445477272147525,-1.0617557018
SH-F-Ca,1.68,8.26893112031464,2.44,0.891401751542897,31.5,1,1100.99,2.5,2.25,3.00625,0.848528137423857,-2.0378090543
SH-F-Cd,1.335,6.66151546523817,2.6125,0.730456367481674,7.875,1.69,580.21,2.75,2.25,3.00625,0.360624458405139,-0.9487802143
SH-F-Co,1.24,6.17398044655289,2.66,0.667960054655339,12.375,1.88,1753.99,2.5,2.25,3.00625,0.226274169979695,-0.7942420143
